"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"200","2023-10-08","C001126",2,145,0,0,1,100,0,0,1,45,0,0,0,0,0,0
"201","2023-10-08","C001129",1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0
"202","2023-10-08","C001130",2,253,0,0,1,250,0,0,1,3,0,0,0,0,0,0
"203","2023-10-08","C001131",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"204","2023-10-08","D000096",1,500,0,0,1,500,0,0,0,0,0,0,0,0,0,0
"205","2023-10-08","D000399",2,67,0,0,1,45,0,0,1,22,0,0,0,0,0,0
"206","2023-10-08","D000617",1,200,1,0,1,200,1,0,0,0,0,0,0,0,0,0
"207","2023-10-08","E000246",1,18,0,0,1,18,0,0,0,0,0,0,0,0,0,0
"208","2023-10-08","E000296",2,265,0,0,1,220,0,0,1,45,0,0,0,0,0,0
"209","2023-10-08","G000574",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"210","2023-10-08","G000578",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"211","2023-10-08","G000585",3,290,0,0,1,45,0,0,2,245,0,0,0,0,0,0
"212","2023-10-08","G000599",1,1100,1,0,1,1100,1,0,0,0,0,0,0,0,0,0
"213","2023-10-08","L000551",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"214","2023-10-08","L000602",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"215","2023-10-08","M000687",1,28,0,0,1,28,0,0,0,0,0,0,0,0,0,0
"216","2023-10-08","M001213",1,28,0,0,1,28,0,0,0,0,0,0,0,0,0,0
"217","2023-10-08","M001217",1,45,1,1,1,45,1,1,0,0,0,0,0,0,0,0
"218","2023-10-08","P000197",3,1445,0,0,2,1145,0,0,2,345,0,0,0,0,0,0
"219","2023-10-08","P000607",2,245,0,0,1,45,0,0,1,200,0,0,0,0,0,0
"220","2023-10-08","P000608",2,195,0,0,1,150,0,0,1,45,0,0,0,0,0,0
"221","2023-10-08","R000305",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"222","2023-10-08","S000344",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"223","2023-10-08","S001148",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"224","2023-10-08","T000468",1,250,0,0,0,0,0,0,1,250,0,0,0,0,0,0
"225","2023-10-08","T000481",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"226","2023-10-08","W000788",1,138,0,0,1,138,0,0,0,0,0,0,0,0,0,0
"227","2023-10-09","A000369",1,40,0,0,0,0,0,0,1,40,0,0,0,0,0,0
"228","2023-10-09","A000379",2,60,0,0,0,0,0,0,2,60,0,0,0,0,0,0
"229","2023-10-09","B001313",2,400,0,0,1,150,0,0,1,250,0,0,0,0,0,0
"230","2023-10-09","B001314",2,138,0,0,1,68,0,0,1,70,0,0,0,0,0,0
"231","2023-10-09","C001039",1,200,1,1,0,0,0,0,1,200,1,1,0,0,0,0
"232","2023-10-09","C001072",1,850,0,0,0,0,0,0,1,850,0,0,0,0,0,0
"233","2023-10-09","C001101",3,325,0,0,1,250,0,0,2,75,0,0,0,0,0,0
"234","2023-10-09","C001125",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"235","2023-10-09","C001126",2,300,0,0,0,0,0,0,2,300,0,0,0,0,0,0
"236","2023-10-09","C001129",2,90,0,0,0,0,0,0,2,90,0,0,0,0,0,0
"237","2023-10-09","D000216",2,145,0,0,1,100,0,0,1,45,0,0,0,0,0,0
"238","2023-10-09","D000399",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"239","2023-10-09","D000617",1,200,0,0,0,0,0,0,1,200,0,0,0,0,0,0
"240","2023-10-09","D000629",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"241","2023-10-09","F000459",1,150,0,0,0,0,0,0,1,150,0,0,0,0,0,0
"242","2023-10-09","F000477",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"243","2023-10-09","G000551",1,75,0,0,1,75,0,0,0,0,0,0,0,0,0,0
"244","2023-10-09","G000590",1,700,0,0,0,0,0,0,1,700,0,0,0,0,0,0
"245","2023-10-09","G000599",6,12000,0,0,1,200,0,0,5,11800,0,0,0,0,0,0
"246","2023-10-09","H001047",1,500,0,0,0,0,0,0,1,500,0,0,0,0,0,0
"247","2023-10-09","H001093",2,700,0,0,1,100,0,0,1,600,0,0,0,0,0,0
"248","2023-10-09","H001096",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
"249","2023-10-09","I000058",1,1000,0,0,0,0,0,0,1,1000,0,0,0,0,0,0
"250","2023-10-09","K000397",1,300,0,0,0,0,0,0,1,300,0,0,0,0,0,0
"251","2023-10-09","L000557",1,450,0,0,0,0,0,0,1,450,0,0,0,0,0,0
"252","2023-10-09","L000562",2,2001,0,0,1,1,0,0,1,2000,0,0,0,0,0,0
"253","2023-10-09","L000582",1,2000,0,0,0,0,0,0,1,2000,0,0,0,0,0,0
"254","2023-10-09","L000583",1,45,0,0,0,0,0,0,1,45,0,0,0,0,0,0
