"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"347","2023-09-20","H001085",1,0,0,0,1,0,0
"348","2023-09-20","S001208",1,0,0,0,1,0,0
"349","2023-09-22","L000564",1,1,0,0,0,1,0
"350","2023-09-22","P000034",1,0,0,0,0,1,0
"351","2023-09-25","W000806",1,1,0,0,0,1,0
"352","2023-09-25","W000812",1,0,0,0,0,1,0
"353","2023-09-26","R000614",1,1,0,0,1,0,0
"354","2023-09-27","B001285",1,1,0,0,0,1,0
"355","2023-09-27","H001086",1,0,0,0,1,0,0
"356","2023-09-27","S000344",4,2,1,0,0,0,4
"357","2023-09-27","S001190",1,1,0,0,0,1,0
"358","2023-09-28","B000825",4,1,0,0,4,0,0
"359","2023-09-28","C001072",6,1,0,0,6,0,0
"360","2023-09-28","I000056",1,0,0,0,1,0,0
"361","2023-09-28","L000551",6,2,0,0,6,0,0
"362","2023-09-28","O000175",6,1,0,0,6,0,0
"363","2023-09-28","S001214",2,0,0,0,2,0,0
"364","2023-09-28","T000165",1,0,0,0,1,0,0
"365","2023-09-28","T000478",6,4,1,0,6,0,0
"366","2023-09-28","W000809",1,1,0,0,0,0,1
"367","2023-09-29","A000369",1,1,0,0,0,1,0
"368","2023-09-29","D000216",2,1,0,0,2,0,0
"369","2023-09-29","H001058",1,1,1,0,0,0,1
"370","2023-09-29","L000564",1,1,0,0,0,1,0
"371","2023-09-29","L000599",2,1,1,0,0,2,0
"372","2023-09-29","M001157",1,1,0,0,0,1,0
"373","2023-09-29","S000522",3,0,0,0,0,0,3
"374","2023-09-29","W000797",1,1,0,0,1,0,0
"375","2023-09-30","F000468",1,0,0,0,0,1,0
"376","2023-10-01","S001195",1,1,0,0,0,1,0
"377","2023-10-01","T000478",3,3,0,1,0,3,0
"378","2023-10-02","B001309",1,0,0,0,0,1,0
"379","2023-10-02","C001132",1,1,0,0,0,1,0
"380","2023-10-02","S001190",2,1,0,0,0,0,2
"381","2023-10-03","A000148",1,1,0,0,0,1,0
"382","2023-10-05","A000372",1,1,0,0,0,1,0
"383","2023-10-07","B001300",1,0,0,0,0,0,1
"384","2023-10-07","B001303",1,0,0,0,0,1,0
"385","2023-10-07","C001132",3,0,0,0,0,3,0
"386","2023-10-07","J000294",1,0,0,0,0,0,1
"387","2023-10-07","K000400",1,0,0,0,0,1,0
"388","2023-10-07","L000569",2,0,0,0,0,0,2
"389","2023-10-07","S000344",1,0,0,0,0,0,1
"390","2023-10-07","S000522",1,0,0,0,0,0,1
"391","2023-10-08","B001291",2,0,0,1,0,2,0
"392","2023-10-08","G000565",5,1,0,0,0,5,0
"393","2023-10-08","G000597",1,0,0,0,0,1,0
"394","2023-10-08","J000294",4,1,0,0,0,4,0
"395","2023-10-08","J000295",1,1,1,0,0,1,0
"396","2023-10-08","L000600",1,0,0,0,0,1,0
"397","2023-10-08","M001210",1,0,0,0,0,1,0
"398","2023-10-08","R000603",2,1,0,0,0,2,0
"399","2023-10-08","S000168",1,0,0,0,0,1,0
"400","2023-10-08","S001190",1,0,0,0,0,1,0
"401","2023-10-08","S001195",1,0,0,0,0,1,0
"402","2023-10-08","S001214",1,0,0,0,0,1,0
"403","2023-10-08","W000821",1,0,0,0,0,1,0
"404","2023-10-09","C001116",1,0,0,0,0,1,0
"405","2023-10-09","C001133",3,1,0,0,0,3,0
"406","2023-10-09","H001067",3,0,0,0,0,3,0
"407","2023-10-09","M000317",1,0,0,0,0,1,0
"408","2023-10-09","M001213",11,2,0,0,0,11,0
"409","2023-10-09","N000188",1,0,0,0,0,1,0
"410","2023-10-09","S000522",1,0,1,0,0,0,1
"411","2023-10-09","S000929",2,1,0,0,0,2,0
"412","2023-10-09","S001183",1,0,0,0,0,1,0
"413","2023-10-09","S001189",1,0,0,0,0,1,0
"414","2023-10-09","S001209",1,0,0,0,0,1,0
"415","2023-10-09","W000812",2,1,0,0,0,2,0
"416","2023-10-10","B000740",1,0,0,0,0,1,0
"417","2023-10-10","B001223",3,0,0,0,0,3,0
"418","2023-10-10","B001287",1,0,0,0,0,1,0
"419","2023-10-10","C001053",3,1,0,0,0,0,3
